pt_nome,pt_enderec,longitude,latitude
"R. FRANCISCO BELLAZI , 290",DENIS BREAN/ R OSORIO ALVES DE CASTRO,-46.79098720641411,-23.450829102291703
"AV. STA. INÊS , 281",ENGENHEIRO JEAN BUFF/ R PROFESSOR JOSE PARDELLI,-46.632332070969284,-23.47666163261111
"AV. ERMANO MARCHETTI , 1051",BELCHIOR CARNEIRO/ PC SEBASTIAO JAYME PINTO,-46.70252884713395,-23.514075664461394
"R. CEL. DIOGO , 1430",ROCHA GALVAO/ R DOUTOR CLEMENTE JOBIM,-46.61535941972827,-23.581366918338485
"TERM. PARQUE DOM PEDRO II - PLAT 01 , 0",PLATAFORMA 01 - (PMV - 06).,-46.630772405224256,-23.54702582542904
"AV. NSA. SRA. DO Ó , 349",EULALIO DA COSTA CARVALHO/ R MATEUS MASCARENHAS,-46.676282573805246,-23.50378865992707
"R. CORNÉLIO DE ARZÃO , 50",Antônio João de Medeiros,-46.396150964710074,-23.51398453405409
"AV. DAS NAÇÕES UNIDAS , 0",,-46.70750617859224,-23.559500795849186
"AV. YERVANT KISSAJIKIAN , 0",ESTANISLAU MONIUSKO/ R BEMAVENTURANCA,-46.66030563830935,-23.676224977433233
"AV. NOVE DE JULHO , 2130",DONA ADMA JAFET/ VDTO PROFESSOR BERNARDINO TRANCHESI,-46.654956752375895,-23.55988579160881
"R. GIUSEPPE BOSCHI , 49",TRAVESSA BAURU,-46.645421521123616,-23.68464502832496
"AV. DO RIO PEQUENO , 713",AV OTACILIO TOMANIK/ R DR. SERGIO RUIZ DE ALBUQUERQUE,-46.752664545511855,-23.56627686220403
"ESTR. ENG. MARSILAC , 12000",EST PONTE SECA/ EST DA LAGOA,-46.71821426395793,-23.901661403882624
"R. DO ACRE , 496",NATAL/ R PIRACUNUNGA,-46.58125891570418,-23.558595959069876
"R. LUIZ SERAPHICO JUNIOR , 0",BRAGANCA PAULISTA/ R CARMO DO RIO VERDE,-46.719588759731636,-23.6377670640351
"R. S. GONÇALO DO RIO DAS PEDRAS , 908",ADRIANO SEABRA/ R CARLO BIBIENA,-46.42126017699108,-23.489807375225137
"ESTR. CANAL DA COCAIA , 2601",CLAUDIO ARTARIA/ AV GAIVOTAS,-46.66624843400286,-23.73665310143443
"R. JOSÉ RAMOS FERNANDES , 627",MOACYR MACHADO CASTANHO/ R ODEMIS,-46.773675157634706,-23.647344287796702
"AV. STO. AMARO , 3159",DEMOSTENES/ R LUISIANIA,-46.67806332161257,-23.6120128780661
"R. ERNESTO BOTTONI , 0",POLIFONTES/ R SEM NOME,-46.74350868045351,-23.41291093431119
"R. THOMAZ ANTÔNIO VILLANI , 135",Av. Dep. Emílio Carlos/Rua Henrique Almeida,-46.67511649247961,-23.487877585867892
"AV. POMPEIA , 2287",PC NOSSA SENHORA DO CARMO/ R CUXIPONES,-46.69042894790208,-23.54336374305407
"R. TAVARES BASTOS , 834",RAUL POMPEIA/ R DOUTOR AUGUSTO DE MIRANDA,-46.690452874019954,-23.532211715989398
"AV. PRES. WILSON , 6747",UA ALCATIS,-46.581742116495114,-23.604415033791426
