nomesc,latitude,longitude
SANTA RITA DE CASSIA,-23.568539,-46.763161
NOITE ENCANTADA I,-23.593796,-46.732154
FADELITO EDUCACAO INFANTIL - FADELITO III,-23.609598,-46.746341
LEON ALEXANDR,-23.577526,-46.736328
ESCOLA VILA DOS BAIXINHOS,-23.598081,-46.732987
PRIMEIRO LAPIS,-23.56737,-46.745922
ALEGRIA DE APRENDER,-23.591615,-46.798076
NOITE ENCANTADA II,-23.605709,-46.726389
NOITE ENCANTADA III,-23.587303,-46.72504
NOITE ENCANTADA IV,-23.612873,-46.72122
SANTA ROSA II,-23.608875,-46.723907
NOITE ENCANTADA VI,-23.608956,-46.678182
PAIS E FILHOS,-23.586778,-46.789662
NINHO DA AMIZADE,-23.592641,-46.799432
"DI BERCUS, ESCOLA",-23.577739,-46.74032
"GIRA GIRASSOL, C.E.I.",-23.580535,-46.767526
ESPACO COLORE EDUCACAO INFANTIL,-23.592024,-46.735972
SANTA TEREZINHA,-23.608333,-46.750534
VOVO ANA,-23.563231,-46.748642
NOITE ENCANTADA V,-23.608257,-46.72336
PEQUENOS DO BUTANTA,-23.599373,-46.796804
PRIMEIROS CAMINHOS,-23.591894,-46.789791
FAZENDO ARTE,-23.594632,-46.729975
"GRUPO MARQUES, ESCOLA",-23.57965,-46.734258
ESCOLA ABRA - EDUCACAO POR PRINCIPIO,-23.614752,-46.7048
EEI ARAUTOS CASTELINHO DOURADO,-23.580579,-46.75388
ESCOLA COALA KIDS,-23.588177,-46.742444
E.E.I. E BERCARIO SININHO - EIRELE - ME,-23.579954,-46.737879
PRIMEIRA INFANCIA CENTRO EDUCACIONAL - QUACATU III,-23.588734,-46.735145
"KOINOBORI GAKUEN, E.I.",-23.593977,-46.726948
ESPACO COLORIR BERCARIO E ESCOLA,-23.578528,-46.73622
GRUPO OFICINA,-23.557068,-46.762207
"URSINHO BRANCO,CENTRO DE ESTUDOS",-23.606211,-46.70838
ESCOLA AVIVA DESENV.INFANTIL,-23.608179,-46.68744
PEQUENOS DO BUTANTA II,-23.579991,-46.778211
PRIMEIRO LAPIS II,-23.60463,-46.724957
RUBENS SVERNER II,-23.595914,-46.722515
VOVO JOSE,-23.57184,-46.758195
CORUJINHA I,-23.561284,-46.712058
PEQUENOS DO BUTANTA IV,-23.584508,-46.739825
CORUJINHA DO SABER,-23.585853,-46.758925
PEQUENOS GENIOS II,-23.593199,-46.753528
REFERENCIA,-23.583842,-46.788742
TODDLER DESENVOLVIMENTO INFANTIL,-23.594165,-46.682814
UM NOVO SONHO,-23.609144,-46.706197
CORUJINHA II,-23.609304,-46.719745
CORUJINHA IV,-23.606689,-46.725028
CORUJINHA III,-23.589302,-46.725999
VOVO TONY,-23.590807,-46.769677
"QUACATU, ESCOLA UNIDADE IV",-23.589657,-46.718986
NOSSO SONHO,-23.58099,-46.766625
CENTRO SODRE DE EDUCACAO INFANTIL EIRELI-EPP,-23.592237,-46.674439
"BRINCARTE, B.R.I.",-23.562178,-46.66
"CARVALHO, DONATO E BARBIERI, E.I.",-23.611472,-46.679758
CRESCER E APRENDER,-23.564901,-46.746109
PRIMEIRO LAPIS III,-23.602312,-46.725356
ALEGRIA DO SABER,-23.603518,-46.729406
PEQUENOS DO BUTANTA III,-23.588647,-46.787418
VOVO FLOR,-23.601089,-46.792655
SONHO DE INFANCIA,-23.614769,-46.750988
ANIMA - NUCLEO DE DESENVOLVIMENTO INFANTIL,-23.604291,-46.680859
